date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:50	83270/83270	---MCZ	200	added ('OK')	text/css	etag:%2214546-55e7c840664bf-gzip%22	http://covetedapp.com/wp-content/themes/massive-dynamic/assets/css/responsive.min.css?ver=5.3	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/themes/massive-dynamic/assets/css/responsive.minde54.css	(from http://covetedapp.com/)
14:49:50	491/491	---MC-	200	added ('OK')	image/png	etag:%221eb-55e7c83ec447a%22	http://covetedapp.com/wp-content/themes/massive-dynamic/lib/customizer/assets/images/texture/1.png	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/themes/massive-dynamic/lib/customizer/assets/images/texture/1.png	(from http://covetedapp.com/)
14:49:51	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Dec%202017%2012:49:51%20GMT	http://demo.massivedynamic.co/startup2/wp-content/uploads/2017/04/Massive-Dynamic-2.jpg	/home/tits/websites/f6s%20mobile/demo.massivedynamic.co/startup2/wp-content/uploads/2017/04/Massive-Dynamic-2.34.delayed	(from http://covetedapp.com/)
14:49:52	671/671	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2027%20Dec%202017%2012:49:52%20GMT	http://theme.pixflow.net/massive-dynamic/startup2/wp-content/uploads/2017/04/Massive-Dynamic-2.jpg	/home/tits/websites/f6s%20mobile/theme.pixflow.net/massive-dynamic/startup2/wp-content/uploads/2017/04/Massive-Dynamic-2.35.delayed	(from http://covetedapp.com/)
14:49:53	561/561	---MCZ	200	added ('OK')	text/css	etag:%22231-558fd3a8024c0-gzip%22	http://covetedapp.com/wp-content/plugins/contact-widgets/assets/css/style.min.css?ver=1.0.1	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/contact-widgets/assets/css/style.minf269.css	(from http://covetedapp.com/)
14:49:54	577/577	---MCZ	200	added ('OK')	text/css	etag:%22241-558fd3a8024c0-gzip%22	http://covetedapp.com/wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min.css?ver=1.2.0	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/godaddy-email-marketing-sign-up-forms/css/gem.min7359.css	(from http://covetedapp.com/)
14:49:56	462190/462190	---MCZ	200	added ('OK')	text/css	etag:%2270d6e-55e7c9bcb6633-gzip%22	http://covetedapp.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.2	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/js_composer/assets/css/js_composer.min7661.css	(from http://covetedapp.com/)
14:49:57	81249/81249	---MCZ	200	added ('OK')	text/css	etag:%2213d61-55e7c99becd24-gzip%22	http://covetedapp.com/wp-content/plugins/masterslider/public/assets/css/masterslider.main.css?ver=3.2.2	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/masterslider/public/assets/css/masterslider.mainee9a.css	(from http://covetedapp.com/)
14:49:57	266/266	---MCZ	200	added ('OK')	text/css	etag:%2210a-55e7c9e1cf634-gzip%22	http://covetedapp.com/wp-content/uploads/masterslider/custom.css?ver=1.2	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/uploads/masterslider/custom62ea.css	(from http://covetedapp.com/)
14:49:58	1424/1424	---MCZ	200	added ('OK')	text/css	etag:%22590-55ddc460aa2c1-gzip%22	http://covetedapp.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.14	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/add-to-any/addtoany.mind50e.css	(from http://covetedapp.com/)
14:50:00	10871/10871	---MCZ	200	added ('OK')	text/css	etag:%222a77-55e7c84060385-gzip%22	http://covetedapp.com/wp-content/themes/massive-dynamic/assets/css/bootstrap.min.css	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/themes/massive-dynamic/assets/css/bootstrap.min.css	(from http://covetedapp.com/)
14:50:00	1868/1868	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:50:00%20GMT	http://covetedapp.com/?sccss=1&ver=4.9.1	/home/tits/websites/f6s%20mobile/covetedapp.com/indexe599.html	(from http://covetedapp.com/)
14:50:01	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:%2217ba0-5337eac0d4540-gzip%22	http://covetedapp.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://covetedapp.com/)
14:50:02	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://covetedapp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://covetedapp.com/)
14:50:03	7189/7189	---MCZ	200	added ('OK')	application/javascript	etag:%221c15-55e7ca66fa1ba-gzip%22	http://covetedapp.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min.js?ver=6.2.6	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min4118.js	(from http://covetedapp.com/)
14:50:03	135/135	---MCZ	200	added ('OK')	application/javascript	etag:%2287-55ddc460ff9ac-gzip%22	http://covetedapp.com/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.0	/home/tits/websites/f6s%20mobile/covetedapp.com/wp-content/plugins/add-to-any/addtoany.min5152.js	(from http://covetedapp.com/)
